Date,Cases
07/01/2019,33
14/01/2019,44
21/01/2019,11
28/01/2019,22
04/02/2019,83
11/02/2019,1
18/02/2019,55
25/02/2019,15
04/03/2019,29
11/03/2019,0
18/03/2019,25
25/03/2019,23
01/04/2019,19
08/04/2019,12
15/04/2019,17
22/04/2019,14
29/04/2019,9
06/05/2019,20
13/05/2019,21
20/05/2019,13
27/05/2019,19
03/06/2019,36
10/06/2019,34
17/06/2019,34
24/06/2019,28
01/07/2019,39
08/07/2019,38
15/07/2019,63
22/07/2019,102
29/07/2019,63
05/08/2019,65
12/08/2019,89
19/08/2019,111
26/08/2019,184
02/09/2019,229
09/09/2019,159
16/09/2019,146
23/09/2019,125
30/09/2019,107
07/10/2019,203
14/10/2019,165
21/10/2019,113
28/10/2019,84
04/11/2019,32
11/11/2019,112
18/11/2019,54
25/11/2019,52
02/12/2019,65
09/12/2019,68
16/12/2019,56
23/12/2019,99
30/12/2019,38
06/01/2020,1
13/01/2020,20
20/01/2020,46
27/01/2020,60
03/02/2020,66
10/02/2020,1
17/02/2020,55
24/02/2020,25
02/03/2020,19
09/03/2020,26
16/03/2020,
23/03/2020,
30/03/2020,
06/04/2020,
13/04/2020,
20/04/2020,
27/04/2020,
04/05/2020,
11/05/2020,
18/05/2020,
25/05/2020,
01/06/2020,
08/06/2020,
15/06/2020,
22/06/2020,
29/06/2020,
06/07/2020,7
13/07/2020,8
20/07/2020,11
27/07/2020,47
03/08/2020,16
10/08/2020,16
17/08/2020,10
24/08/2020,26
31/08/2020,
07/09/2020,
14/09/2020,
21/09/2020,
28/09/2020,25
05/10/2020,64
12/10/2020,12
19/10/2020,44
26/10/2020,
02/11/2020,
09/11/2020,
16/11/2020,69
23/11/2020,79
30/11/2020,129
07/12/2020,368
14/12/2020,97
21/12/2020,80
28/12/2020,
04/01/2021,8
11/01/2021,57
18/01/2021,36
25/01/2021,59
01/02/2021,32
08/02/2021,69
15/02/2021,16
22/02/2021,45
01/03/2021,36
08/03/2021,43
15/03/2021,0
22/03/2021,29
29/03/2021,16
05/04/2021,32
12/04/2021,9
19/04/2021,20
26/04/2021,6
03/05/2021,1
10/05/2021,30
17/05/2021,0
24/05/2021,22
31/05/2021,4
07/06/2021,31
14/06/2021,7
21/06/2021,87
28/06/2021,2
05/07/2021,13
12/07/2021,52
19/07/2021,7
26/07/2021,88
02/08/2021,18
09/08/2021,204
16/08/2021,13
23/08/2021,35
30/08/2021,2
06/09/2021,35
13/09/2021,4
20/09/2021,18
27/09/2021,26
04/10/2021,5
11/10/2021,9
18/10/2021,98
25/10/2021,34
01/11/2021,4
08/11/2021,46
15/11/2021,8
22/11/2021,82
29/11/2021,16
06/12/2021,5
13/12/2021,14
20/12/2021,14
27/12/2021,70
03/01/2022,15
10/01/2022,38
17/01/2022,28
24/01/2022,22
31/01/2022,23
07/02/2022,23
14/02/2022,23
21/02/2022,21
28/02/2022,22
07/03/2022,22
14/03/2022,24
21/03/2022,46
28/03/2022,52
04/04/2022,46
11/04/2022,32
18/04/2022,37
25/04/2022,109
02/05/2022,48
09/05/2022,0
16/05/2022,48
23/05/2022,36
30/05/2022,52
06/06/2022,65
13/06/2022,77
20/06/2022,83
27/06/2022,7
04/07/2022,111
11/07/2022,6
18/07/2022,94
25/07/2022,222
01/08/2022,11
08/08/2022,51
15/08/2022,5
22/08/2022,303
29/08/2022,5
05/09/2022,289
12/09/2022,12
19/09/2022,218
26/09/2022,7
03/10/2022,98
10/10/2022,161
17/10/2022,161
24/10/2022,73
31/10/2022,197
07/11/2022,243
14/11/2022,315
21/11/2022,301
28/11/2022,102
05/12/2022,205
12/12/2022,83
19/12/2022,93
26/12/2022,408
02/01/2023,14
09/01/2023,97
16/01/2023,87
23/01/2023,73
30/01/2023,167
06/02/2023,81
13/02/2023,116
20/02/2023,90
27/02/2023,82
06/03/2023,121
13/03/2023,87
20/03/2023,55
27/03/2023,57
03/04/2023,25
10/04/2023,48
17/04/2023,45
24/04/2023,34
01/05/2023,34
08/05/2023,102
15/05/2023,58
22/05/2023,47
29/05/2023,62
05/06/2023,61
12/06/2023,56
19/06/2023,91
26/06/2023,77
03/07/2023,105
10/07/2023,107
17/07/2023,89
24/07/2023,167
31/07/2023,261
07/08/2023,356
14/08/2023,373
21/08/2023,234
28/08/2023,169
04/09/2023,231
11/09/2023,315
18/09/2023,254
25/09/2023,208
02/10/2023,221
09/10/2023,221
16/10/2023,206
23/10/2023,127
